Authority	2000-01	2001-02	2002-03	2003-04	2004-05	2005-06	2006-07	2007-08	2008-09	2009-10	2010-11	% Increase
East Northamptonshire	119.52	123.47	129.19	139.62	148.88	155.4	160.53	165.03	173.7	181.95	188.09	57.37
East Renfrewshire	 810 	 859 	 910 	 955 	" 1,003 "	" 1,053 "	" 1,105 "	" 1,126 "	" 1,126 "	" 1,126 "	" 1,126 "	39.01
East Riding of Yorkshire	863.54	906.19	957.92	995.88	992.24	1041.27	1092.54	1135.57	1191.97	1237.8	1255.52	45.39
East Staffordshire	139.8	149.32	158.15	167.8	178.56	187.63	193.49	198.81	205.3	210.72	217.18	55.35
East Sussex	674.98	741.38	777.69	930.43	919.92	958.95	1004.1	1047.69	1089	1127.49	1158.3	71.61
East Yorkshire	-	-	-	-	-	-	-	-	-	-	-	#VALUE!
Eastbourne	121.01	125.51	131.14	181.32	190.2	194	198.85	203.82	211.57	218.85	224.19	85.27
Eastleigh	131.51	142.31	151.44	158.32	163.1	165.81	169.05	173.94	178.6	182.4	188.34	43.21
Eden	124.37	129.96	136.84	143.86	148.61	154.5	162.07	171.42	180.16	188.61	194.73	56.57
Edinburgh	 915 	 960 	" 1,001 "	" 1,041 "	" 1,083 "	" 1,126 "	" 1,152 "	" 1,169 "	" 1,169 "	" 1,169 "	" 1,169 "	27.76
Eilean Siar	 724 	 765 	 815 	 867 	 911 	 956 	 999 	" 1,024 "	" 1,024 "	" 1,024 "	" 1,024 "	41.44
Ellesmere Port & Neston	127.66	133.9	143.94	149.12	155.83	161.91	168.22	174.27	177.7	-	-	#VALUE!
Elmbridge	118.4	124.6	136.42	163.65	174.99	183.01	190.68	190.67	190.66	199.96	199.97	68.89
Enfield	674.32	733.85	781.1	898.28	951.66	974.25	998.55	1033.02	1073.7	1100.34	1100.34	63.18
Epping Forest	119.13	133.01	145.78	162.9	169.33	176.27	183.32	191.35	195.4	200.92	205.2	72.25
Epsom & Ewell	102.4	110.08	116.68	121.35	127.11	133.34	139.87	146.51	153.1	159.07	163.05	59.23
Erewash	111.71	121.22	128.4	132.37	142.58	149.47	157.02	160.87	167.01	171.4	171.54	53.56
Essex	648	699.48	767.88	896.4	891.54	917.73	960.39	1003.95	1046.61	1066.5	1086.75	67.71
Exeter	82.51	86.22	92.69	97.94	102.74	104.32	106.93	110.03	114.98	119.46	124.84	51.30
Falkirk	 757 	 813 	 863 	 906 	 951 	 999 	" 1,045 "	" 1,070 "	" 1,070 "	" 1,070 "	" 1,070 "	41.35
Fareham	102.42	105.39	110.61	120.24	123.3	126.27	128.7	132.57	136.53	140.22	140.22	36.91
Fenland	111.53	118.38	145.98	195.33	211.17	218.9	226.04	235.98	245.85	256.86	264.33	137.00
Fife	 849 	 891 	 935 	 981 	" 1,015 "	" 1,050 "	" 1,091 "	" 1,118 "	" 1,118 "	" 1,118 "	" 1,118 "	31.68
Flintshire	654.27	702.39	751.93	820.16	880.92	921.04	964.74	1006.17	1042.55	1080.08	1115.2	70.45
Forest Heath	114.2	131.36	143.29	155.75	168.27	176.58	181.22	186.64	192.59	201.82	210.21	84.07
Forest of Dean	152.11	157.68	167.44	177.24	181.75	187.46	188.35	192.73	199.91	206.08	210.7	38.52
Fylde	100.21	103.56	123.99	129.06	142.03	149.33	157.91	165.45	184.14	194.81	203.66	103.23
Gateshead	911.02	953.64	1015.29	1114.87	1170.44	1226.98	1278.96	1323.71	1375.29	1416.41	1443.32	58.43
Gedling	102.88	106.07	116.08	119.9	128.39	134.37	138.45	142.5	146.92	150.52	153.41	49.12
Gillingham	-	-	-	-	-	-	-	-	-	-	-	#VALUE!
Glanford	-	-	-	-	-	-	-	-	-	-	-	#VALUE!
Glasgow City	" 1,094 "	" 1,120 "	" 1,141 "	" 1,163 "	" 1,185 "	" 1,213 "	" 1,213 "	" 1,213 "	" 1,213 "	" 1,213 "	" 1,213 "	10.88
Gloucester	118.02	126.3	135.46	141.76	152.83	157.45	162.39	167.72	174.53	181.1	186.32	57.87
Gloucestershire	634.14	680.73	746.27	843.81	888.76	923	955.23	988.02	1036.37	1065.94	1090.5	71.97
Gosport	128	140.72	149	156.3	174.33	178.93	183.3	190.63	197.87	202.81	202.81	58.45
Gravesham	85.51	91.82	113.81	125.59	131.67	138.46	145.4	152.28	159.93	167.56	171.86	100.98
Great Grimsby	-	-	-	-	-	-	-	-	-	-	-	#VALUE!
Great Yarmouth	99.4	106.01	109.43	115.94	123.54	129.05	135.06	142	145.94	152.82	155.41	56.35
Greater London Authority	122.98	150.88	173.88	224.4	241.33	254.62	288.61	303.88	309.82	309.82	309.82	151.93
Greenwich	743.53	760.37	779.76	863.97	899.37	925.21	933.95	961.97	981.03	981.03	981.04	31.94
Guildford	111.86	118.95	129.06	138.53	143.56	148.02	152.24	154.63	159.84	163.46	166.37	48.73
Gwynedd	672.95	694.77	761.26	837.08	889.75	961.08	1007.67	1059.52	1102.01	1147.7	1190.38	76.89
Hackney	701.77	771.95	849.15	934.07	979.84	998.45	998.45	998.45	998.45	998.45	998.45	42.28
Halton	676.2	737.02	792.29	922.12	916.71	961.61	1004.87	1044.17	1080.92	1117.84	1139.08	68.45
Hambleton	60.79	67.2	74.49	82.19	88.9	96.14	99.6	105.78	112.81	117.08	119.88	97.20
Hammersmith & Fulham	738.58	772.41	772.41	848.49	890.07	903.42	916.97	889.45	862.77	836.89	811.78	9.91
Hampshire	644.85	680.58	734.67	844.56	840.15	869.4	910.62	955.62	999	1018.17	1037.88	60.95
Harborough	120.63	128.45	147.51	158.92	167.87	173.88	180.67	185.34	194.05	200.74	205.92	70.70
Haringey	809.02	809.12	809.12	949.6	1017.97	1068.26	1094.98	1127.83	1161.66	1184.32	1184.32	46.39
Harlow	208.92	215.19	215.19	208.73	216	224.37	230.85	235.26	242.1	251.55	251.55	20.40
Harrogate	134.62	148.37	159.23	171.81	184.54	193.42	201.92	210.71	219.65	228.37	228.46	69.71
Harrow	729.65	788.07	835.38	1001.16	1033.89	1041.28	1067.19	1119.5	1152.55	1186.55	1186.55	62.62
Hart	123.27	130.96	158.39	162.85	168.56	175.19	179.75	187.72	196.19	204.53	210.35	70.64
Hartlepool	956.77	999.82	1044.81	1091.83	1111.57	1166.04	1222.99	1282.92	1332.92	1384.96	1419.64	48.38
Hastings	144.45	153.12	163.46	187.98	196.44	203.86	208.75	216.06	223.62	231.45	235.85	63.27
Havant	116.54	123.2	131.69	143.55	151.88	161.77	169.38	176.9	185.58	192.78	192.78	65.42
Havering	730.02	808.12	863.12	991.6	1042.67	1073.38	1091.39	1129.12	1173.18	1201.18	1195.18	63.72
Hereford 	-	-	-	-	-	-	-	-	-	-	-	#VALUE!
Hereford and Worcester	-	-	-	-	-	-	-	-	-	-	-	#VALUE!
Herefordshire	700.61	767.46	832.36	951.13	983.54	1026.41	1073.12	1113.39	1165.62	1209.34	1240.26	77.03
Hertfordshire	619.19	656.34	718.73	849.74	894.57	938.47	984.95	1034.13	1081.12	1118.83	1118.83	80.69
Hertsmere	109.09	113.99	118.69	139.38	146.21	153.37	160.74	168.41	175.27	180.18	180.18	65.17
High Peak	130.78	134.54	141.47	153.69	161.07	167.85	173.55	178.78	184.15	188.66	191.5	46.43
Highland	 839 	 889 	 939 	 989 	" 1,039 "	" 1,086 "	" 1,135 "	" 1,163 "	" 1,163 "	" 1,163 "	" 1,163 "	38.62
Hillingdon	701.13	760.83	818.57	929.27	974.07	1012.11	1041.46	1080.51	1112.93	1112.93	1112.93	58.73
Hinckley & Bosworth	87.04	94.71	101.82	108.86	117.95	125.88	130.2	138.9	144.42	148.24	150.59	73.01
Holderness	-	-	-	-	-	-	-	-	-	-	-	#VALUE!
Horsham	111.92	117.44	129.06	137.22	142.32	150.04	157.44	163.19	169.5	174.42	178.54	59.52
Hounslow	737.17	803.99	848.19	955.63	1020.84	1066	1090.65	1090.65	1090.65	1090.65	1090.65	47.95
Hove	-	-	-	-	-	-	-	-	-	-	-	#VALUE!
Humberside  	-	-	-	-	-	-	-	-	-	-	-	#VALUE!
Huntingdonshire	118.81	123.66	127.76	130.15	144.69	154.56	164.42	171.81	180.07	188.7	195.66	64.68
Hyndburn	151.51	163.41	167.88	174.42	181.22	190.28	199.7	209.68	220.07	231.04	231.1	52.53
Inverclyde	 933 	" 1,012 "	" 1,062 "	" 1,089 "	" 1,143 "	" 1,176 "	" 1,206 "	" 1,198 "	" 1,198 "	" 1,198 "	" 1,198 "	28.40
Ipswich	196.56	208.35	228.89	256.14	268.74	275.22	281.34	289.62	298.17	306.9	312.84	59.16
Isle of Anglesey	620.73	647.15	711.07	798.32	843.44	876.61	910.53	959.07	979.62	1012.79	1054.92	69.95
Isle of Wight	767.9	800.2	906.68	1036.73	1086.51	1134	1170.2	1193.19	1238.99	1282.16	1315.42	71.30
Isles of Scilly	507.54	527.05	579.75	724.62	779.04	814.1	853.99	895.84	939.73	985.78	1030.14	102.97
Islington	747.18	726.12	693.12	824.81	866.05	902.13	901.99	915.52	938.41	961.87	961.87	28.73
